"title","average_vote","popularity","tagline"
"Mortal Kombat","5.4","16.470895","Nothing In This World Has Prepared You For This."
"Don't Be Afraid of the Dark","5.4","14.562197","Fear is never just make believe"
"Blood and Chocolate","5.4","12.295216","The hunt never tasted so sweet."
"Queen of the Damned","5.4","11.644243","This time there are no interviews."
"The Shadow","5.4","8.178203","The Shadow Knows!"
"Delgo","5.4","4.238482","*No Tag Line*"
"The Nutcracker: The Untold Story","5.4","3.593349","*No Tag Line*"
"Bogus","5.4","3.379454","A comedy about losing your heart, finding your inner child and meeting the one friend you've always tried to avoid."
"Max Keeble's Big Move","5.4","1.081822","His World. His Rules."
"Ghostbusters","5.3","66.218060","Who You Gonna Call?"
"Gods of Egypt","5.3","56.257249","The battle for eternity begins"
"The Scorpion King","5.3","37.537093","Warrior. Legend. King."
"Drive Angry","5.3","30.387148","One hell of a ride."
"Evan Almighty","5.3","27.082182","A comedy of biblical proportions"
"Superman III","5.3","22.164202","If the world's most powerful computer can control even Superman...no one on earth is safe."
"Lady in the Water","5.3","20.219385","Time is running out for a happy ending."
"The Medallion","5.3","14.653718","*No Tag Line*"
"Aliens in the Attic","5.3","13.707183","The aliens vs. the Pearsons"
"The Muse","5.3","2.857936","In Goddess we trust."
"Jupiter Ascending","5.2","85.369080","Expand your universe."
"Seventh Son","5.2","63.628459","When darkness falls, the son will rise. When the son falls, the dark knight will rise."
"The Mummy: Tomb of the Dragon Emperor","5.2","60.034162","A New Evil Awakens."
"Batman Forever","5.2","48.205606","Courage now, truth always..."
"Ghost Rider","5.2","46.834704","Hell Is About To Be Unleashed"
"The Haunting","5.2","19.375768","Some houses are born bad."
"Little Nicky","5.2","18.335992","He's Never Been To Earth. He's Never Even Slept Over Some Other Dude's House."
"The Haunted Mansion","5.2","16.302378","Check your pulse at the door... if you have one."
"The Covenant","5.2","15.804814","Only the power of Hell can help them."
"Babe: Pig in the City","5.2","11.356079","This little pig went to the city..."
"Warlock: The Armageddon","5.2","3.107149","*No Tag Line*"
"G-Force","5.1","26.710398","The world needs bigger heroes"
"Black Knight","5.1","15.913783","It's only a flesh wound!"
"Bulletproof Monk","5.1","15.207070","A power beyond measure requires a protector without equal."
"Herbie Fully Loaded","5.1","12.050755","Start your engines..."
"Howard the Duck","5.1","11.374306","You will believe that a duck can talk."
"Teenage Mutant Ninja Turtles III","5.1","10.207065","The Turtles Are Back....In Time."
"The Adventurer: The Curse of the Midas Box","5.1","8.842722","The new name for adventure."
"The Barbarians","5.1","1.631993","Warriors. Conquerors. Heroes."
"The Flintstones","5.0","28.964162","Yabba-Dabba-Doo!"
"Spawn","5.0","19.833664","Born in darkness. Sworn to justice."
